date,country,count
2022-05-07,United Kingdom,6
2022-05-08,United Kingdom,3
2022-05-09,United Kingdom,10
2022-05-10,United Kingdom,6
2022-05-11,United Kingdom,6
2022-05-12,United Kingdom,7
2022-05-13,United Kingdom,10
2022-05-14,United Kingdom,13
2022-05-15,United Kingdom,13
2022-05-16,United Kingdom,17
2022-05-17,United Kingdom,16
2022-05-18,United Kingdom,14
2022-05-19,United Kingdom,15
2022-05-20,United Kingdom,17
2022-05-21,United Kingdom,16
2022-05-22,United Kingdom,13
2022-05-23,United Kingdom,23
2022-05-24,United Kingdom,22
2022-05-25,United Kingdom,17
2022-05-26,United Kingdom,14
2022-05-27,United Kingdom,15
2022-05-28,United Kingdom,18
2022-05-29,United Kingdom,16
2022-05-30,United Kingdom,20
2022-05-31,United Kingdom,19
2022-06-01,United Kingdom,33
2022-06-02,United Kingdom,28
2022-06-03,United Kingdom,26
2022-06-04,United Kingdom,21
2022-06-05,United Kingdom,32
2022-06-06,United Kingdom,50
2022-06-07,United Kingdom,46
2022-06-08,United Kingdom,26
2022-06-09,United Kingdom,32
2022-06-10,United Kingdom,33
2022-06-11,United Kingdom,42
2022-06-12,United Kingdom,30
2022-06-13,United Kingdom,60
2022-06-14,United Kingdom,40
2022-06-15,United Kingdom,42
2022-06-16,United Kingdom,21
2022-06-17,United Kingdom,55
2022-06-18,United Kingdom,45
2022-06-19,United Kingdom,17
2022-06-20,United Kingdom,34
2022-06-21,United Kingdom,28
2022-06-22,United Kingdom,36
2022-06-23,United Kingdom,36
2022-06-24,United Kingdom,39
2022-06-25,United Kingdom,24
2022-06-26,United Kingdom,26
2022-06-27,United Kingdom,62
2022-06-28,United Kingdom,22
2022-06-29,United Kingdom,50
2022-06-30,United Kingdom,23
2022-07-01,United Kingdom,42
2022-07-02,United Kingdom,58
2022-07-03,United Kingdom,1
2022-07-04,United Kingdom,20
2022-07-05,United Kingdom,24
2022-07-06,United Kingdom,46
2022-07-07,United Kingdom,40
2022-07-08,United Kingdom,5
2022-07-09,United Kingdom,36
